ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV001,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Sphaerospermopsis BCCUSP55,Sphaerospermopsis BCCUSP55_kisseleviana
ASV002,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA
ASV003,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Cryobacterium,Cryobacterium_NA
ASV004,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,Peredibacter_NA
ASV005,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis_NA
ASV006,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,oc32,oc32_NA
ASV007,Bacteria,Verrucomicrobiota,Verrucomicrobiae,NA,NA,NA,NA
ASV008,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Calothrix PCC-6303,Calothrix PCC-6303_NA
ASV009,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,JGI 0001001-H03,JGI 0001001-H03_NA
ASV010,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,OLB12,OLB12_NA
ASV011,Bacteria,Sva0485,NA,NA,NA,NA,NA
ASV012,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhizobacter,Rhizobacter_NA
ASV013,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,SH3-11,SH3-11_NA
ASV014,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_aryabhattai
ASV015,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Roseimaritima,Roseimaritima_NA
ASV016,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae,Synechocystis BDHKU-20401,Synechocystis BDHKU-20401_NA
ASV017,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter_NA
ASV018,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Simkaniaceae,Candidatus Rhabdochlamydia,Candidatus Rhabdochlamydia_NA
ASV019,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Candidatus Paracaedibacter,Candidatus Paracaedibacter_symbiosus
ASV020,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Dolichospermum NIES41,Dolichospermum NIES41_spiroides
ASV021,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter_NA
ASV022,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Cyanobacteriales Incertae Sedis,Microseira Carmichael-Alabama,Microseira Carmichael-Alabama_NA
ASV023,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga_NA
ASV024,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_circulans
ASV025,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,Terrimonas_NA
ASV026,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Elizabethkingia,Elizabethkingia_ursingii
